CodeL1,PCode,PlanName,Account1,Rate,UseYN
5104010107.109,P21,ค่าใช้สอย,ค่าจ้างเหมาบำรุงรักษาดูแลลิฟท์,1.0,Yes
5104010107.110,P21,ค่าใช้สอย,ค่าจ้างเหมาบำรุงรักษาสวนหย่อม,1.0,Yes
5104010107.111,P21,ค่าใช้สอย,ค่าจ้างเหมาบำรุงรักษาครุภัณฑ์วิทยาศาสตร์และการแพทย์,1.0,Yes
5104010107.112,P21,ค่าใช้สอย,ค่าจ้างเหมาบำรุงรักษาเครื่องปรับอากาศ,1.0,Yes
5104010107.113,P21,ค่าใช้สอย,ค่าจ้างเหมาซ่อมแซมบ้านพัก,1.0,Yes
5104010110.101,P23,วัสดุใช้ไป,ค่าเชื้อเพลิง,1.0,Yes
5104010112.101,P21,ค่าใช้สอย,ค่าจ้างเหมาทำความสะอาด,1.0,Yes
5104010112.103,P21,ค่าใช้สอย,ค่าจ้างเหมาประกอบอาหารผู้ป่วย,1.0,Yes
5104010112.106,P21,ค่าใช้สอย,ค่าจ้างเหมารถ,1.0,Yes
5104010112.108,P21,ค่าใช้สอย,ค่าจ้างเหมาดูแลความปลอดภัย,1.0,Yes
5104010112.110,P21,ค่าใช้สอย,ค่าจ้างเหมาซักรีด,1.0,Yes
5104010112.111,P21,ค่าใช้สอย,ค่าจ้างเหมากำจัดขยะติดเชื้อ,1.0,Yes
5104010112.112,P21,ค่าใช้สอย,ค่าจ้างเหมาบริการทางการแพทย์,1.0,Yes
5104010112.113,P21,ค่าใช้สอย,ค่าจ้างเหมาบริการอื่น(สนับสนุน),1.0,Yes
5104010112.114,P21,ค่าใช้สอย,ค่าจ้างตรวจทางห้องปฏิบัติการ (Lab),1.0,Yes
5104010112.115,P21,ค่าใช้สอย,ค่าจ้างตรวจเอ็กซเรย์ (X-Ray),1.0,Yes
5104010114.101,P21,ค่าใช้สอย,ค่าธรรมเนียมทางกฎหมาย,1.0,Yes
5104010115.101,P21,ค่าใช้สอย,ค่าธรรมเนียมธนาคาร,1.0,Yes
5104020101.101,P22,ค่าสาธารณูปโภค,ค่าไฟฟ้า,1.0,Yes
5104020103.101,P22,ค่าสาธารณูปโภค,ค่าน้ำประปาและน้ำบาดาล,1.0,Yes
5104020105.101,P22,ค่าสาธารณูปโภค,ค่าโทรศัพท์,1.0,Yes
5104020106.101,P22,ค่าสาธารณูปโภค,ค่าบริการสื่อสารและโทรคมนาคม,1.0,Yes
5104020107.101,P22,ค่าสาธารณูปโภค,ค่าไปรษณีย์และขนส่ง,1.0,Yes
5104030202.101,P21,ค่าใช้สอย,ค่าจ้างที่ปรึกษา,1.0,Yes
5104030203.101,P21,ค่าใช้สอย,ค่าเบี้ยประกันภัย,1.0,Yes
5104030205.101,P14,ต้นทุนยา,ยาใช้ไป,1.0,Yes
5104030205.102,P15,ต้นทุนเวชภัณฑ์มิใช่ยาและวัสดุการแพทย์,วัสดุเภสัชกรรมใช้ไป,1.0,Yes
5104030205.103,P15,ต้นทุนเวชภัณฑ์มิใช่ยาและวัสดุการแพทย์,วัสดุทางการแพทย์ทั่วไปใช้ไป,1.0,Yes
5104030205.104,P16,ต้นทุนวัสดุวิทยาศาสตร์การแพทย์,วัสดุวิทยาศาสตร์และการแพทย์ใช้ไป,1.0,Yes
5104030205.112,P23,วัสดุใช้ไป,วัสดุบริโภคใช้ไป,1.0,Yes
5104030205.113,P23,วัสดุใช้ไป,วัสดุเครื่องแต่งกายใช้ไป,1.0,Yes
5104030205.117,P151,ต้นทุนวัสดุทันตกรรม,วัสดุทันตกรรมใช้ไป,1.0,Yes
5104030205.118,P15,ต้นทุนเวชภัณฑ์มิใช่ยาและวัสดุการแพทย์,วัสดุเอกซเรย์ใช้ไป,1.0,Yes
5104030206.101,P23,วัสดุใช้ไป,ค่าครุภัณฑ์มูลค่าต่ำกว่าเกณฑ์,1.0,Yes
5104030207.101,P21,ค่าใช้สอย,ค่าใช้จ่ายในการประชุม,1.0,Yes
5104030208.101,P21,ค่าใช้สอย,ค่ารับรองและพิธีการ,1.0,Yes
5104030210.101,P21,ค่าใช้สอย,ค่าเช่าอสังหาริมทรัพย์,1.0,Yes
5104030212.101,P21,ค่าใช้สอย,ค่าเช่าเบ็ดเตล็ด,1.0,Yes
5104030217.101,P21,ค่าใช้สอย,เงินชดเชยค่างานสิ่งก่อสร้าง,1.0,Yes
5104030218.101,P25,ค่าใช้จ่ายอื่น,ค่าใช้จ่ายผลักส่งเป็นรายได้แผ่นดิน,1.0,Yes
5104030219.101,P21,ค่าใช้สอย,ค่าประชาสัมพันธ์,1.0,Yes
5104030220.101,P21,ค่าใช้สอย,ค่าชดใช้ค่าเสียหาย,1.0,Yes
5104030299.102,P25,ค่าใช้จ่ายอื่น,ค่าใช้จ่ายตามโครงการ (UC) (PP),1.0,Yes
5104030299.103,P25,ค่าใช้จ่ายอื่น,ค่าใช้จ่ายตามโครงการ (เงินงบประมาณ),1.0,Yes
5104030299.104,P21,ค่าใช้สอย,ค่าใช้สอยอื่นๆ,1.0,Yes
5104030299.105,P25,ค่าใช้จ่ายอื่น,ค่าใช้จ่ายตามโครงการ (เงินนอกงบประมาณ),1.0,Yes
5104030299.202,P25,ค่าใช้จ่ายอื่น,ค่ารักษาตามจ่าย UC ในสังกัด สป. สธ.,1.0,Yes
5104030299.203,P25,ค่าใช้จ่ายอื่น,ค่ารักษาตามจ่าย UC นอกสังกัด สป. สธ.,1.0,Yes
5104030299.204,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าจ้าง/ค่าเช่า/ค่าซ่อมบำรุง สิ่งก่อสร้างและครุภัณฑ์ (งบลงทุน UC),1.0,Yes
5104030299.501,P25,ค่าใช้จ่ายอื่น,ค่ารักษาตามจ่ายคนต่างด้าวและแรงงานต่างด้าว,1.0,Yes
5104030299.502,P25,ค่าใช้จ่ายอื่น,ค่าใช้จ่ายตามโครงการ (P&P) แรงงานต่างด้าว,1.0,Yes
5104030299.701,P25,ค่าใช้จ่ายอื่น,ค่าใช้จ่ายตามโครงการ (P&P) บุคคลที่มีปัญหาสถานะและสิทธิ,1.0,Yes
5104030299.702,P25,ค่าใช้จ่ายอื่น,ค่ารักษาตามจ่ายบุคคลที่มีปัญหาสถานะและสิทธิ,1.0,Yes
5104040102.101,P19,ค่าตอบแทน,ค่าตอบแทนเงินเพิ่มพิเศษแพทย์ไม่ทำเวชปฏิบัติฯลฯ (บริการ),1.0,Yes
5104040102.102,P19,ค่าตอบแทน,ค่าตอบแทนเงินเพิ่มพิเศษทันตแพทย์ไม่ทำเวชปฏิบัติฯลฯ(บริการ),1.0,Yes
5104040102.103,P19,ค่าตอบแทน,ค่าตอบแทนเงินเพิ่มเภสัชกรไม่ทำเวชปฏิบัติฯลฯ (บริการ),1.0,Yes
5104040102.104,P19,ค่าตอบแทน,ค่าตอบแทนในการปฏิบัติงานของเจ้าหน้าที่ (บริการ),1.0,Yes
5104040102.105,P19,ค่าตอบแทน,ค่าตอบแทนในการปฏิบัติงานของเจ้าหน้าที่ (สนับสนุน),1.0,Yes
5104040102.106,P19,ค่าตอบแทน,ค่าตอบแทนการปฏิบัติงานในคลินิกพิเศษนอกเวลา,1.0,Yes
5104040102.107,P19,ค่าตอบแทน,ค่าตอบแทนการปฏิบัติงานชันสูตรพลิกศพ (เงินงบประมาณ),1.0,Yes
5104040102.108,P19,ค่าตอบแทน,ค่าตอบแทนการปฏิบัติงานชันสูตรพลิกศพ (เงินนอกงบประมาณ),1.0,Yes
5104040102.109,P19,ค่าตอบแทน,ค่าตอบแทนปฏิบัติงานแพทย์สาขาส่งเสริมพิเศษ,1.0,Yes
5104040102.110,P19,ค่าตอบแทน,ค่าตอบแทนปฏิบัติงานส่งเสริมสุขภาพและเวชปฏิบัติครอบครัว,1.0,Yes
5104040102.111,P19,ค่าตอบแทน,ค่าตอบแทนการปฏิบัติงานในลักษณะค่าเบี้ยเลี้ยงเหมาจ่าย (บริการ) - เงินงบประมาณ,1.0,Yes
5104040102.112,P19,ค่าตอบแทน,ค่าตอบแทนการปฏิบัติงานในลักษณะค่าเบี้ยเลี้ยงเหมาจ่าย (สนับสนุน) - เงินงบประมาณ,1.0,Yes
5104040102.113,P19,ค่าตอบแทน,ค่าตอบแทนการปฏิบัติงานในลักษณะค่าเบี้ยเลี้ยงเหมาจ่าย (บริการ)  - เงินนอกงบประมาณ,1.0,Yes
5104040102.114,P19,ค่าตอบแทน,ค่าตอบแทนการปฏิบัติงานในลักษณะค่าเบี้ยเลี้ยงเหมาจ่าย (สนับสนุน)  - เงินนอกงบประมาณ,1.0,Yes
5104040102.115,P19,ค่าตอบแทน,ค่าตอบแทนตามผลการปฏิบัติงาน (บริการ) - เงินงบประมาณ,1.0,Yes
5104040102.116,P19,ค่าตอบแทน,ค่าตอบแทนตามผลการปฏิบัติงาน (สนับสนุน) - เงินงบประมาณ,1.0,Yes
5104040102.117,P19,ค่าตอบแทน,ค่าตอบแทนตามผลการปฏิบัติงาน (บริการ) - เงินนอกงบประมาณ,1.0,Yes
5104040102.118,P19,ค่าตอบแทน,ค่าตอบแทนตามผลการปฏิบัติงาน (สนับสนุน)  - เงินนอกงบประมาณ,1.0,Yes
5104040102.119,P19,ค่าตอบแทน,ค่าตอบแทนการปฏิบัติงานอื่น -เงินงบประมาณ,1.0,Yes
5104040102.120,P19,ค่าตอบแทน,ค่าตอบแทนการปฏิบัติงานอื่น-เงินนอกงบประมาณ,1.0,Yes
5105010101.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา -อาคารเพื่อการพักอาศัย,1.0,Yes
5105010103.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา - อาคารสำนักงาน,1.0,Yes
5105010105.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา - อาคารเพื่อประโยชน์อื่น,1.0,Yes
5105010107.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา - สิ่งปลูกสร้าง,1.0,Yes
